user_id,id,name,artist,album,release_date,popularity,duration_ms,explicit,uri,album_genre,artist_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,track_href,analysis_url,time_signature
derek,36GgiqJtdZ1m10p6OW6ibS,Stardew Valley Overture,GENTLE LOVE,Prescription for Sleep: Stardew Valley,2021-05-19,21,483841,False,spotify:track:36GgiqJtdZ1m10p6OW6ibS,Unknown,pixel,0.233,0.034,11.0,-20.435,1.0,0.039,0.981,0.535,0.0869,0.0788,76.359,audio_features,https://api.spotify.com/v1/tracks/36GgiqJtdZ1m10p6OW6ibS,https://api.spotify.com/v1/audio-analysis/36GgiqJtdZ1m10p6OW6ibS,3.0
derek,1qfoq1qvZT7VwDVeekCJ97,De Los Besos Que Te Di,Christian Nodal,Ahora,2019-05-10,77,167373,False,spotify:track:1qfoq1qvZT7VwDVeekCJ97,Unknown,mariachi,0.504,0.503,7.0,-3.313,1.0,0.0422,0.388,0.0,0.0608,0.709,195.593,audio_features,https://api.spotify.com/v1/tracks/1qfoq1qvZT7VwDVeekCJ97,https://api.spotify.com/v1/audio-analysis/1qfoq1qvZT7VwDVeekCJ97,4.0
derek,6eVgqOkY5h9ynn4e0s5utp,Opening Titles,Jack Wall,Myst III: Exile (Original Game Soundtrack),2001-05-07,0,114093,False,spotify:track:6eVgqOkY5h9ynn4e0s5utp,Unknown,scorecore,0.21,0.159,5.0,-15.249,0.0,0.0381,0.97,0.855,0.0757,0.047,86.024,audio_features,https://api.spotify.com/v1/tracks/6eVgqOkY5h9ynn4e0s5utp,https://api.spotify.com/v1/audio-analysis/6eVgqOkY5h9ynn4e0s5utp,4.0
derek,07Lc1xrSTQzLjsO80E2fnE,Main Theme,Jack Wall,Myst III: Exile (Original Game Soundtrack),2001-05-07,0,262267,False,spotify:track:07Lc1xrSTQzLjsO80E2fnE,Unknown,scorecore,0.241,0.206,0.0,-16.003,0.0,0.0379,0.946,0.896,0.34,0.0921,169.797,audio_features,https://api.spotify.com/v1/tracks/07Lc1xrSTQzLjsO80E2fnE,https://api.spotify.com/v1/audio-analysis/07Lc1xrSTQzLjsO80E2fnE,3.0
derek,2gaZJDgE71VL9PzzUUlpMg,Dragonborn,Jeremy Soule,The Elder Scrolls V: Skyrim: Original Game Soundtrack,2013-01-31,61,235636,False,spotify:track:2gaZJDgE71VL9PzzUUlpMg,Unknown,orchestral soundtrack,0.413,0.482,11.0,-13.311,0.0,0.0539,0.895,0.685,0.111,0.13,66.766,audio_features,https://api.spotify.com/v1/tracks/2gaZJDgE71VL9PzzUUlpMg,https://api.spotify.com/v1/audio-analysis/2gaZJDgE71VL9PzzUUlpMg,4.0
derek,5jxmAZcqOtOeVRvRXD66EA,Joy Tales,Erwan Mellec,Circles,2022-03-16,0,224531,False,spotify:track:5jxmAZcqOtOeVRvRXD66EA,Unknown,Unknown,0.838,0.478,5.0,-10.122,1.0,0.115,0.451,0.681,0.0674,0.769,114.359,audio_features,https://api.spotify.com/v1/tracks/5jxmAZcqOtOeVRvRXD66EA,https://api.spotify.com/v1/audio-analysis/5jxmAZcqOtOeVRvRXD66EA,4.0
derek,36AcU8laBb76YCPszXRbT2,Milkshake,Erwan Mellec,Circles,2022-03-16,0,182754,False,spotify:track:36AcU8laBb76YCPszXRbT2,Unknown,Unknown,0.796,0.316,5.0,-10.89,1.0,0.0579,0.499,0.772,0.044,0.556,128.569,audio_features,https://api.spotify.com/v1/tracks/36AcU8laBb76YCPszXRbT2,https://api.spotify.com/v1/audio-analysis/36AcU8laBb76YCPszXRbT2,4.0
derek,6JQYaWVcVBP4myrLMo9BZk,Get It !,Erwan Mellec,Circles,2022-03-16,0,308181,False,spotify:track:6JQYaWVcVBP4myrLMo9BZk,Unknown,Unknown,0.777,0.396,2.0,-9.755,1.0,0.405,0.51,0.812,0.23,0.776,128.045,audio_features,https://api.spotify.com/v1/tracks/6JQYaWVcVBP4myrLMo9BZk,https://api.spotify.com/v1/audio-analysis/6JQYaWVcVBP4myrLMo9BZk,4.0
derek,0mJpn0xFoTpGOSLwvblOEp,Doucement,Erwan Mellec,Circles,2022-03-16,0,218437,False,spotify:track:0mJpn0xFoTpGOSLwvblOEp,Unknown,Unknown,0.532,0.0393,7.0,-17.287,1.0,0.0444,0.96,0.646,0.108,0.18,86.906,audio_features,https://api.spotify.com/v1/tracks/0mJpn0xFoTpGOSLwvblOEp,https://api.spotify.com/v1/audio-analysis/0mJpn0xFoTpGOSLwvblOEp,4.0
derek,1STTHKp3w8FiA8JiZ4X3jH,Don't Do That,Erwan Mellec,Circles,2022-03-16,0,205398,False,spotify:track:1STTHKp3w8FiA8JiZ4X3jH,Unknown,Unknown,0.668,0.421,2.0,-9.798,0.0,0.25,0.446,0.635,0.0631,0.808,81.461,audio_features,https://api.spotify.com/v1/tracks/1STTHKp3w8FiA8JiZ4X3jH,https://api.spotify.com/v1/audio-analysis/1STTHKp3w8FiA8JiZ4X3jH,4.0
